gender,height,age,weight,ethnicGroup,size,upper_garment_type,upper_garment_color,lower_garment_type,lower_garment_color,clothing_style
RICH_TEXT,INTEGER,INTEGER,INTEGER,RICH_TEXT,RICH_TEXT,RICH_TEXT,RICH_TEXT,RICH_TEXT,RICH_TEXT,RICH_TEXT
Female,1.61,59,56.9,Caucasian,S,Dress,White,Dress,Green,bohemian-chic
Female,1.44,23,70.8,Caucasian,XS,Dress,Brown,Dress,Brown,bohemian-chic
Female,1.69,27,41.6,Caucasian,S,Blouse,Blue,Skirt,Orange,bohemian-chic
Female,1.62,23,54.2,African,S,Blouse,White,Skirt,Blue,bohemian-chic
Female,1.55,17,51.2,Latino,XS,Blazer,Brown,Jeans,Black,Eclectic-Punk
Female,1.72,58,47.7,East Asian,M,Blazer,Black,Jeans,Black,Eclectic-Punk
Female,1.70,44,89.4,Caucasian,S,Jacket,Green,Pants,Blue ,Eclectic-Punk
Female,1.48,57,46.4,Caucasian,XS,Jacket,Black,Skirt,Red,Eclectic-Punk
Female,1.56,51,54.5,African,XS,Sweater,Black,Jeans,Black,Tomboy/sporty
Female,1.79,29,69.2,Latino,M,Tank-top,Black,Pants,Blue,Tomboy/sporty
Female,1.71,25,61.3,East Asian,M,Jacket,Jacket,Shorts,Grey,Tomboy/sporty
Female,1.57,38,86.7,South Asian,XS,Blazer,Black,Jeans,Black,Tomboy/sporty
Female,1.49,38,44,Caucasian,XS,Blazer,Black,Skirt,White,Sophisticated 
Female,1.42,51,71.9,African,XS,Dress,White,Bikini,White,Sophisticated 
Female,1.65,65,67.9,Latino,S,Blouse,Brown,Pants,Black,Sophisticated 
Female,1.56,50,88.9,East Asian,XS,Blazer,Black,Skirt,Black,Sophisticated 
Female,1.58,51,68.5,South Asian,XS,Lingerie,Blue,Lingerie,Blue,Sexy
Female,1.43,70,62.4,Caucasian,XS,Bikini,Black,Bikini,Black,Sexy
Female,1.42,55,55.8,African,XS,Dress,White,Dress,White,Sexy
Female,1.67,30,71.3,Latino,S,Dress ,White,Dress ,White,Sexy
Female,1.68,63,81.9,East Asian,S,Sweater,Black,Pants,Black,Artsy-cute
Female,1.52,49,53.1,South Asian,XS,Jacket,Black,Skirt,Blue,Artsy-cute
Female,1.61,41,45.4,Caucasian,S,Dress,Black,Dress,Black,Artsy-cute
Female,1.46,16,70.2,African,XS,Coat,Brown,Pants,Blue,Artsy-cute
Male,1.65,65,63.9,Latino,S,Blouse,White,Jeans,Blue,Artsy-cute
Male,1.63,28,73.9,East Asian,S,Blazer,Pink,Pants,White,Preppy
Male,1.66,60,57.3,South Asian,S,Shirt,White,Shorts,Blue,Preppy
Male,1.77,18,50.4,Caucasian,M,Blazer,Black,Jeans,Blue,Preppy
Male,1.84,39,95.9,African,L,Coat,Black,Pants,Brown,Preppy
Male,1.94,24,76,Latino,XL,Suit,Black,Suit,Black,Formal
Male,1.63,23,57.3,East Asian,S,Shirt,Pink,Pants ,Black,Formal
Male,1.64,47,78.2,South Asian,S,Suit,Grey,Suit ,Grey,Formal
Male,1.66,61,86.7,Caucasian,S,Suit ,Black,Suit,Black,Formal
Male,1.82,27,76.3,African,L,Jacket,Green,Jeans,Black,Indie
Male,1.69,53,52.7,Latino,S,Blazer,Orange,Jeans ,Blue,Indie
Male,1.77,28,73.7,East Asian,M,Shirt,Blue,Pants,Green,Indie
Male,1.68,55,80.8,South Asian,S,T-shirt,Grey,Jeans,Blue,Indie
Male,1.83,20,84.3,Caucasian,L,T-shirt,Black,Pants,Green,Athletic-Casual
Male,1.94,42,54.6,African,XL,Sweater,Blue,Jeans,Black,Athletic-Casual
Male,1.64,40,91.5,Latino,S,Tank-top,Black,Shorts,Black,Athletic-Casual
